iter	Passed	Remaining
0	16	16163
1	32	16342
2	56	18810
3	77	19192
4	97	19364
5	124	20646
6	148	21033
7	169	21056
8	188	20740
9	206	20402
10	223	20099
11	241	19894
12	259	19706
13	277	19510
14	293	19293
15	310	19091
16	327	18919
17	346	18900
18	362	18723
19	382	18759
20	398	18576
21	420	18686
22	440	18691
23	457	18614
24	507	19797
25	555	20820
26	594	21420
27	624	21666
28	656	21987
29	679	21955
30	704	22017
31	748	22649
32	798	23406
33	850	24157
34	881	24304
35	905	24245
36	942	24532
37	971	24595
38	999	24635
39	1037	24888
40	1074	25127
41	1111	25355
42	1162	25869
43	1183	25719
44	1205	25574
45	1224	25401
46	1245	25262
47	1267	25140
48	1287	24983
49	1308	24868
50	1325	24671
51	1344	24505
52	1365	24405
53	1384	24256
54	1409	24224
55	1427	24056
56	1448	23968
57	1469	23873
58	1498	23896
59	1519	23809
60	1543	23753
61	1564	23670
62	1583	23555
63	1599	23389
64	1617	23263
65	1634	23129
66	1652	23009
67	1674	22951
68	1692	22831
69	1709	22712
70	1729	22632
71	1748	22532
72	1770	22478
73	1788	22376
74	1807	22297
75	1824	22178
76	1845	22119
77	1865	22056
78	1885	21983
79	1906	21928
80	1923	21826
81	1940	21725
82	1963	21695
83	1983	21628
84	1999	21519
85	2016	21433
86	2033	21337
87	2051	21256
88	2072	21211
89	2091	21142
90	2110	21082
91	2128	21007
92	2150	20975
93	2171	20926
94	2189	20853
95	2207	20787
96	2226	20728
97	2243	20650
98	2267	20637
99	2282	20539
100	2300	20475
101	2318	20413
102	2336	20351
103	2357	20313
104	2376	20253
105	2395	20201
106	2417	20178
107	2434	20105
108	2453	20055
109	2474	20019
110	2494	19974
111	2515	19946
112	2535	19902
113	2556	19869
114	2578	19843
115	2598	19800
116	2614	19733
117	2630	19662
118	2645	19586
119	2665	19543
120	2682	19483
121	2699	19429
122	2716	19371
123	2734	19316
124	2752	19268
125	2773	19239
126	2790	19179
127	2812	19163
128	2844	19203
129	2870	19211
130	2888	19162
131	2911	19142
132	2928	19092
133	2944	19031
134	2966	19006
135	2985	18967
136	3000	18899
137	3017	18847
138	3032	18786
139	3051	18742
140	3071	18714
141	3087	18654
142	3104	18607
143	3241	19271
144	3307	19502
145	3344	19560
146	3367	19539
147	3401	19579
148	3428	19580
149	3458	19596
150	3484	19589
151	3503	19543
152	3529	19541
153	3548	19493
154	3566	19443
155	3596	19455
156	3616	19418
157	3643	19415
158	3661	19368
159	3692	19386
160	3712	19348
161	3746	19381
162	3767	19346
163	3810	19424
164	3844	19456
165	3870	19447
166	3899	19448
167	3928	19454
168	3950	19424
169	3973	19400
170	3997	19381
171	4016	19333
172	4038	19304
173	4058	19266
174	4077	19222
175	4099	19192
176	4120	19158
177	4138	19110
178	4158	19071
179	4187	19075
180	4208	19044
181	4230	19016
182	4252	18984
183	4270	18939
184	4289	18897
185	4306	18848
186	4326	18812
187	4350	18788
188	4370	18752
189	4393	18729
190	4409	18678
191	4429	18640
192	4450	18607
193	4466	18558
194	4484	18513
195	4506	18485
196	4524	18440
197	4542	18401
198	4561	18360
199	4584	18336
200	4601	18291
201	4618	18244
202	4634	18197
203	4652	18153
204	4668	18106
205	4689	18076
206	4708	18038
207	4726	17997
208	4742	17947
209	4765	17927
210	4795	17930
211	4829	17949
212	4863	17968
213	4880	17925
214	4903	17901
215	4922	17865
216	4944	17842
217	4961	17795
218	4978	17754
219	4999	17725
220	5018	17690
221	5035	17645
222	5053	17609
223	5071	17569
224	5089	17531
225	5128	17565
226	5153	17550
227	5177	17529
228	5196	17496
229	5212	17451
230	5244	17460
231	5262	17421
232	5280	17383
233	5306	17371
234	5331	17354
235	5351	17324
236	5369	17285
237	5398	17284
238	5419	17255
239	5439	17223
240	5464	17210
241	5485	17182
242	5506	17155
243	5526	17123
244	5543	17084
245	5562	17049
246	5581	17015
247	5601	16983
248	5617	16944
249	5636	16908
250	5657	16882
251	5674	16844
252	5691	16804
253	5712	16778
254	5730	16742
255	5746	16701
256	5768	16678
257	5792	16658
258	5816	16641
259	5837	16615
260	5860	16592
261	5879	16560
262	5897	16526
263	5920	16504
264	5936	16465
265	5955	16434
266	5973	16398
267	5992	16368
268	6014	16344
269	6038	16326
270	6055	16289
271	6072	16254
272	6089	16216
273	6111	16193
274	6130	16162
275	6155	16146
276	6171	16108
277	6190	16076
278	6209	16047
279	6226	16011
280	6248	15987
281	6266	15956
282	6284	15921
283	6306	15898
284	6325	15868
285	6342	15833
286	6359	15799
287	6376	15764
288	6400	15746
289	6418	15713
290	6436	15682
291	6454	15649
292	6472	15617
293	6488	15581
294	6509	15555
295	6532	15537
296	6550	15505
297	6567	15470
298	6587	15443
299	6605	15412
300	6624	15383
301	6641	15350
302	6661	15323
303	6678	15291
304	6695	15256
305	6709	15217
306	6729	15191
307	6746	15158
308	6762	15123
309	6779	15089
310	6798	15062
311	6818	15034
312	6843	15019
313	6862	14992
314	6879	14961
315	6900	14936
316	6945	14963
317	6974	14957
318	6992	14927
319	7010	14897
320	7028	14867
321	7045	14833
322	7062	14803
323	7081	14774
324	7099	14744
325	7122	14725
326	7142	14699
327	7159	14669
328	7177	14638
329	7196	14611
330	7214	14580
331	7231	14549
332	7249	14520
333	7267	14492
334	7284	14459
335	7300	14426
336	7318	14398
337	7336	14368
338	7353	14338
339	7372	14310
340	7388	14278
341	7404	14246
342	7422	14217
343	7438	14184
344	7457	14158
345	7474	14128
346	7490	14096
347	7508	14066
348	7525	14037
349	7541	14005
350	7560	13978
351	7581	13957
352	7607	13942
353	7627	13919
354	7647	13895
355	7666	13868
356	7683	13838
357	7699	13807
358	7722	13788
359	7739	13759
360	7757	13731
361	7775	13703
362	7791	13673
363	7811	13647
364	7828	13618
365	7846	13591
366	7862	13561
367	7883	13538
368	7897	13505
369	7920	13485
370	7936	13455
371	7954	13428
372	7970	13397
373	7985	13366
374	8003	13339
375	8060	13377
376	8086	13362
377	8101	13331
378	8123	13310
379	8143	13286
380	8165	13265
381	8183	13239
382	8199	13208
383	8219	13184
384	8240	13163
385	8257	13135
386	8275	13107
387	8292	13079
388	8308	13049
389	8327	13024
390	8346	13000
391	8364	12973
392	8379	12942
393	8394	12911
394	8416	12890
395	8432	12862
396	8451	12836
397	8468	12809
398	8485	12782
399	8503	12755
400	8521	12729
401	8541	12705
402	8562	12684
403	8581	12659
404	8597	12630
405	8617	12607
406	8635	12582
407	8654	12557
408	8674	12534
409	8689	12504
410	8710	12483
411	8732	12462
412	8749	12436
413	8768	12410
414	8784	12383
415	8800	12354
416	8819	12330
417	8841	12309
418	8859	12284
419	8875	12257
420	8891	12227
421	8910	12204
422	8932	12184
423	8951	12161
424	8970	12137
425	8986	12109
426	9008	12088
427	9030	12069
428	9051	12048
429	9071	12025
430	9087	11997
431	9106	11973
432	9128	11953
433	9145	11927
434	9163	11901
435	9181	11876
436	9196	11848
437	9214	11823
438	9234	11800
439	9258	11784
440	9275	11757
441	9292	11730
442	9311	11707
443	9332	11686
444	9350	11661
445	9368	11637
446	9385	11611
447	9403	11586
448	9425	11566
449	9443	11542
450	9462	11519
451	9479	11492
452	9494	11464
453	9511	11438
454	9530	11416
455	9554	11398
456	9572	11373
457	9589	11348
458	9609	11326
459	9626	11301
460	9653	11286
461	9669	11260
462	9685	11233
463	9702	11208
464	9721	11185
465	9743	11165
466	9761	11140
467	9776	11113
468	9792	11086
469	9809	11062
470	9827	11037
471	9848	11017
472	9867	10993
473	9883	10968
474	9901	10943
475	9917	10917
476	9935	10893
477	9953	10869
478	9971	10845
479	9993	10826
480	10023	10815
481	10059	10810
482	10082	10792
483	10106	10774
484	10135	10762
485	10156	10741
486	10173	10716
487	10190	10691
488	10207	10666
489	10225	10642
490	10249	10625
491	10268	10601
492	10286	10578
493	10306	10556
494	10324	10533
495	10342	10509
496	10365	10491
497	10383	10466
498	10401	10443
499	10422	10422
500	10439	10397
501	10459	10376
502	10484	10358
503	10511	10345
504	10531	10323
505	10556	10305
506	10578	10286
507	10596	10262
508	10615	10240
509	10636	10219
510	10658	10199
511	10675	10175
512	10694	10152
513	10713	10129
514	10731	10106
515	10753	10086
516	10772	10063
517	10791	10041
518	10810	10018
519	10832	9999
520	10852	9977
521	10873	9956
522	10892	9934
523	10913	9913
524	10932	9891
525	10956	9873
526	10975	9850
527	10995	9828
528	11020	9811
529	11041	9791
530	11064	9772
531	11085	9751
532	11105	9730
533	11124	9708
534	11143	9685
535	11162	9662
536	11177	9637
537	11198	9616
538	11218	9594
539	11324	9646
540	11373	9649
541	11410	9641
542	11437	9626
543	11468	9613
544	11488	9591
545	11519	9578
546	11538	9555
547	11567	9541
548	11588	9520
549	11611	9500
550	11629	9476
551	11659	9462
552	11686	9446
553	11714	9430
554	11739	9412
555	11766	9396
556	11786	9374
557	11810	9355
558	11836	9337
559	11861	9319
560	11884	9300
561	11905	9278
562	11924	9255
563	11942	9232
564	11967	9213
565	11985	9190
566	12004	9167
567	12021	9143
568	12039	9119
569	12069	9105
570	12100	9091
571	12130	9077
572	12157	9060
573	12177	9037
574	12198	9016
575	12219	8995
576	12237	8971
577	12257	8949
578	12276	8926
579	12298	8906
580	12318	8883
581	12340	8862
582	12357	8838
583	12378	8817
584	12397	8794
585	12413	8770
586	12431	8746
587	12448	8722
588	12468	8700
589	12488	8678
590	12512	8658
591	12531	8636
592	12554	8616
593	12594	8608
594	12627	8595
595	12653	8577
596	12674	8555
597	12694	8533
598	12712	8510
599	12729	8486
600	12748	8463
601	12767	8440
602	12786	8418
603	12807	8396
604	12824	8372
605	12842	8349
606	12861	8327
607	12885	8307
608	12916	8292
609	12944	8275
610	12978	8262
611	13019	8254
612	13105	8273
613	13147	8265
614	13182	8252
615	13219	8240
616	13261	8232
617	13308	8225
618	13330	8205
619	13356	8186
620	13383	8168
621	13413	8151
622	13433	8129
623	13462	8112
624	13491	8094
625	13513	8073
626	13530	8049
627	13555	8029
628	13579	8009
629	13598	7986
630	13621	7965
631	13641	7943
632	13660	7919
633	13680	7897
634	13706	7878
635	13728	7857
636	13772	7848
637	13855	7861
638	14012	7916
639	14093	7927
640	14150	7925
641	14203	7920
642	14245	7909
643	14279	7893
644	14321	7882
645	14355	7866
646	14389	7850
647	14423	7834
648	14456	7818
649	14503	7809
650	14538	7794
651	14572	7777
652	14621	7769
653	14663	7757
654	14704	7745
655	14747	7733
656	14791	7722
657	14835	7710
658	14867	7693
659	14919	7685
660	14960	7672
661	15001	7659
662	15042	7645
663	15100	7641
664	15169	7641
665	15230	7638
666	15287	7632
667	15343	7626
668	15388	7613
669	15431	7600
670	15485	7592
671	15520	7575
672	15552	7556
673	15600	7545
674	15646	7533
675	15689	7519
676	15736	7507
677	15766	7487
678	15823	7480
679	15877	7471
680	15931	7462
681	15963	7443
682	15994	7423
683	16030	7405
684	16056	7383
685	16094	7366
686	16151	7358
687	16236	7363
688	16282	7349
689	16341	7341
690	16380	7324
691	16424	7310
692	16479	7300
693	16575	7308
694	16628	7297
695	16662	7277
696	16708	7263
697	16744	7244
698	16778	7225
699	16824	7210
700	16860	7191
701	16920	7182
702	16977	7172
703	17006	7150
704	17029	7125
705	17058	7103
706	17083	7080
707	17110	7056
708	17137	7033
709	17167	7012
710	17206	6993
711	17237	6972
712	17273	6953
713	17357	6952
714	17467	6962
715	17505	6943
716	17548	6926
717	17583	6906
718	17622	6887
719	17671	6872
720	17757	6871
721	17851	6873
722	17924	6867
723	17956	6845
724	18038	6842
725	18156	6852
726	18234	6847
727	18395	6873
728	18521	6885
729	18606	6881
730	18718	6888
731	18919	6926
732	19053	6940
733	19145	6938
734	19243	6938
735	19339	6936
736	19445	6939
737	19506	6924
738	19573	6912
739	19628	6896
740	19692	6883
741	19771	6874
742	19825	6857
743	19885	6842
744	19938	6824
745	19995	6808
746	20085	6802
747	20137	6784
748	20176	6761
749	20224	6741
750	20266	6719
751	20357	6713
752	20408	6694
753	20455	6673
754	20485	6647
755	20582	6643
756	20654	6630
757	20721	6615
758	20846	6619
759	20924	6607
760	21011	6598
761	21080	6584
762	21173	6576
763	21240	6561
764	21305	6544
765	21371	6528
766	21518	6536
767	21605	6526
768	21749	6533
769	21905	6543
770	22020	6540
771	22127	6535
772	22275	6541
773	22392	6538
774	22469	6523
775	22546	6508
776	22654	6501
777	22736	6487
778	22786	6464
779	22875	6452
780	22946	6434
781	23010	6414
782	23079	6396
783	23112	6367
784	23161	6343
785	23206	6318
786	23244	6291
787	23285	6264
788	23316	6235
789	23354	6208
790	23392	6180
791	23433	6154
792	23475	6127
793	23503	6097
794	23559	6075
795	23616	6052
796	23670	6028
797	23724	6005
798	23774	5980
799	23837	5959
800	23905	5938
801	23959	5915
802	24012	5890
803	24086	5871
804	24122	5843
805	24168	5817
806	24221	5792
807	24256	5763
808	24290	5734
809	24328	5706
810	24371	5679
811	24412	5652
812	24439	5621
813	24482	5594
814	24531	5568
815	24574	5541
816	24621	5515
817	24668	5488
818	24764	5472
819	24839	5452
820	24980	5446
821	25079	5430
822	25151	5409
823	25212	5385
824	25311	5369
825	25386	5347
826	25464	5326
827	25519	5301
828	25584	5277
829	25684	5260
830	25764	5239
831	25827	5215
832	25885	5189
833	25951	5165
834	26023	5142
835	26082	5116
836	26119	5086
837	26166	5058
838	26200	5027
839	26287	5007
840	26322	4976
841	26351	4944
842	26380	4913
843	26411	4881
844	26441	4850
845	26473	4818
846	26508	4788
847	26538	4756
848	26607	4732
849	26647	4702
850	26725	4679
851	26764	4649
852	26816	4621
853	26860	4592
854	26935	4567
855	27007	4543
856	27052	4513
857	27090	4483
858	27125	4452
859	27165	4422
860	27213	4393
861	27260	4364
862	27327	4338
863	27407	4314
864	27468	4287
865	27588	4268
866	27665	4243
867	27750	4220
868	27818	4193
869	27896	4168
870	27950	4139
871	28006	4111
872	28061	4082
873	28111	4052
874	28163	4023
875	28214	3993
876	28253	3962
877	28303	3932
878	28368	3905
879	28443	3878
880	28522	3852
881	28588	3824
882	28707	3803
883	28751	3772
884	28818	3744
885	28863	3713
886	28916	3683
887	28956	3652
888	29001	3621
889	29045	3589
890	29084	3557
891	29116	3525
892	29156	3493
893	29207	3463
894	29355	3443
895	29407	3413
896	29461	3382
897	29494	3350
898	29548	3319
899	29599	3288
900	29644	3257
901	29685	3225
902	29736	3194
903	29826	3167
904	29893	3137
905	29961	3108
906	30022	3078
907	30073	3047
908	30165	3019
909	30208	2987
910	30279	2958
911	30315	2925
912	30373	2894
913	30421	2862
914	30460	2829
915	30496	2796
916	30564	2766
917	30598	2733
918	30638	2700
919	30671	2667
920	30702	2633
921	30739	2600
922	30765	2566
923	30790	2532
924	30818	2498
925	30839	2464
926	30868	2430
927	30891	2396
928	30936	2364
929	30964	2330
930	30987	2296
931	31013	2262
932	31048	2229
933	31067	2195
934	31084	2160
935	31104	2126
936	31123	2092
937	31144	2058
938	31161	2024
939	31179	1990
940	31197	1956
941	31216	1922
942	31234	1887
943	31255	1854
944	31273	1820
945	31290	1786
946	31308	1752
947	31328	1718
948	31349	1684
949	31375	1651
950	31398	1617
951	31416	1584
952	31433	1550
953	31457	1516
954	31479	1483
955	31499	1449
956	31516	1416
957	31531	1382
958	31554	1349
959	31573	1315
960	31591	1282
961	31608	1248
962	31625	1215
